PUMA,SERIALNO,HINCP,NP,WGTP,AMI_80,HINCP_threshold,AMI_60,AMI_50,AMI_40
11604,281367,8587.216480751238,1,119,119,Under 60,119,119,119
11601,282625,1989.7208918813844,1,69,69,Under 60,69,69,69
11602,284033,282854.5331037694,3,146,0,Over 60,0,0,0
11601,286175,54036.63053741023,2,72,72,Over 60,0,0,0
11601,286289,27541.926029726532,1,129,129,Under 60,129,129,129
11603,287516,81683.27871934105,2,117,0,Over 60,0,0,0
11603,287610,126190.19340616147,2,69,0,Over 60,0,0,0
11602,288634,286938.6970397365,3,66,0,Over 60,0,0,0
11602,290762,159072.94919830645,4,54,0,Over 60,0,0,0
11604,290768,48905.24507940034,1,128,128,Over 60,0,0,0
11603,291140,84615.49898106097,1,141,0,Over 60,0,0,0
11601,292124,92364.93824417795,2,217,0,Over 60,0,0,0
11602,292970,171147.41334746033,4,148,0,Over 60,0,0,0
11604,294437,153941.56374029658,2,65,0,Over 60,0,0,0
11605,295533,180122.10179136743,4,125,0,Over 60,0,0,0
11605,296236,41260.52796848765,7,198,198,Under 60,198,198,198
11602,297620,28589.147551769365,2,107,107,Under 60,107,107,107
11605,297646,59712.571186882386,1,85,0,Over 60,0,0,0
11605,298167,27646.648181930814,2,182,182,Under 60,182,182,182
11603,298190,365480.311192949,2,198,0,Over 60,0,0,0
11605,298970,249657.6108550116,2,141,0,Over 60,0,0,0
11602,300373,131949.91177739706,4,145,0,Over 60,0,0,0
11604,300616,41888.86088171336,2,60,60,Under 60,60,0,0
11602,300659,116241.58894675456,3,383,0,Over 60,0,0,0
11601,301398,546649.6345063592,2,189,0,Over 60,0,0,0
11602,302028,131949.91177739706,5,68,0,Over 60,0,0,0
11604,302368,94878.26989708075,6,467,0,Over 60,0,0,0
11603,302416,198972.08918813843,1,210,0,Over 60,0,0,0
11601,303118,143532.18181119082,3,111,0,Over 60,0,0,0
11603,303147,78541.61415321253,1,90,0,Over 60,0,0,0
11604,303426,50266.633058056024,1,142,142,Over 60,0,0,0
11605,304635,18849.98739677101,1,77,77,Under 60,77,77,77
11603,305468,128389.35860245144,1,127,0,Over 60,0,0,0
11604,306291,6283.329132257003,5,307,307,Under 60,307,307,307
11605,306597,25761.649442253714,2,127,127,Under 60,127,127,127
11602,306892,57597.183712355865,1,171,0,Over 60,0,0,0
11605,307963,69640.23121584846,3,67,67,Over 60,0,0,0
11604,308142,727818.9578197695,2,105,0,Over 60,0,0,0
11601,309461,10472.21522042834,2,143,143,Under 60,143,143,143
11603,309729,1256.6658264514006,1,170,170,Under 60,170,170,170
11601,310544,104722.15220428338,4,124,0,Over 60,0,0,0
11604,310579,134986.8541913213,1,134,0,Over 60,0,0,0
11605,312614,9110.827241772655,1,58,58,Under 60,58,58,58
11602,313179,308972.2378635177,4,69,0,Over 60,0,0,0
11605,313456,156036.00678438225,2,60,0,Over 60,0,0,0
11601,313513,125666.58264514006,2,135,0,Over 60,0,0,0
11603,313951,109329.92690127186,2,160,0,Over 60,0,0,0
11601,314033,73305.50654299837,1,229,0,Over 60,0,0,0
11604,314222,90061.05089568371,2,166,0,Over 60,0,0,0
11603,314255,60738.848278484365,2,124,124,Over 60,0,0,0
11604,314289,160224.89287255358,1,141,0,Over 60,0,0,0
11601,314355,271125.65205688967,1,139,0,Over 60,0,0,0
11601,315578,79588.83567525537,1,124,0,Over 60,0,0,0
11605,316234,51313.85458009886,1,115,115,Over 60,0,0,0
11604,317366,45030.52544784186,1,352,352,Over 60,0,0,0
11601,317759,99486.04459406922,1,196,0,Over 60,0,0,0
11601,318360,101580.48763815488,2,71,0,Over 60,0,0,0
11603,319454,20630.263984243826,1,60,60,Under 60,60,60,60
11603,321190,219989.8251355381,1,121,0,Over 60,0,0,0
11601,321649,62833.29132257003,1,70,0,Over 60,0,0,0
11603,321967,75818.83819590117,1,111,0,Over 60,0,0,0
11605,321976,27856.09248633938,2,63,63,Under 60,63,63,63
11604,322002,2094.4430440856677,2,111,111,Under 60,111,111,111
11602,322401,63775.790692408584,4,40,40,Over 60,0,0,0
11601,322609,115194.36742471173,1,192,0,Over 60,0,0,0
11605,323059,15708.322830642508,1,181,181,Under 60,181,181,181
11602,323107,13509.157634352558,1,126,126,Under 60,126,126,126
11603,323124,75609.39389149261,2,131,0,Over 60,0,0,0
11601,323251,263899.82355479413,2,67,0,Over 60,0,0,0
11603,323530,263899.82355479413,1,151,0,Over 60,0,0,0
11601,323704,52779.964710958826,2,68,68,Over 60,0,0,0
11605,324543,40422.75075085339,2,110,110,Under 60,110,0,0
11604,325689,275419.2602972653,3,102,0,Over 60,0,0,0
11604,326318,69221.34260703131,2,121,0,Over 60,0,0,0
11603,326506,76447.17110912687,1,74,0,Over 60,0,0,0
11601,327021,273324.8172531796,2,67,0,Over 60,0,0,0
11602,327043,2199.165196289951,1,324,324,Under 60,324,324,324
11605,327291,65273.31746892983,4,75,75,Over 60,0,0,0
11601,327946,248819.83363737733,2,75,0,Over 60,0,0,0
11605,328300,94249.93698385505,3,85,0,Over 60,0,0,0
11601,328456,167555.44352685343,4,72,0,Over 60,0,0,0
11602,329743,165042.1118739506,3,141,0,Over 60,0,0,0
11604,330123,229823.23522752034,7,124,0,Over 60,0,0,0
11601,330197,102522.98700799343,3,124,0,Over 60,0,0,0
11605,330431,75399.94958708403,2,73,0,Over 60,0,0,0
11604,331316,31416.645661285016,1,219,219,Under 60,219,219,0
11603,332512,180436.26824798028,3,125,0,Over 60,0,0,0
11601,334371,62833.29132257003,1,178,0,Over 60,0,0,0
11604,334592,41993.58303391764,1,213,213,Under 60,213,0,0
11604,335073,69116.62045482703,1,115,0,Over 60,0,0,0
11603,336415,103674.93068224055,1,171,0,Over 60,0,0,0
11602,336674,240860.9500698518,3,64,0,Over 60,0,0,0
11604,337039,97391.60154998355,1,248,0,Over 60,0,0,0
11603,337174,260758.15898866564,3,74,0,Over 60,0,0,0
11604,338749,6806.93989327842,3,68,68,Under 60,68,68,68
11601,339391,75609.39389149261,1,70,0,Over 60,0,0,0
11601,341004,4712.496849192752,1,67,67,Under 60,67,67,67
11603,341446,127761.02568922573,1,117,0,Over 60,0,0,0
11605,342411,19583.042462200992,1,64,64,Under 60,64,64,64
11605,342759,42045.94411001978,2,66,66,Under 60,66,0,0
11602,342796,44297.47038241187,1,129,129,Over 60,0,0,0
11602,343282,19007.070625077435,1,135,135,Under 60,135,135,135
11603,343994,18116.932331341024,1,61,61,Under 60,61,61,61
11602,344034,77494.3926311697,3,73,0,Over 60,0,0,0
11602,345049,87233.55278616806,2,82,0,Over 60,0,0,0
11605,345247,105769.37372632622,1,91,0,Over 60,0,0,0
11602,345308,125666.58264514006,5,62,0,Over 60,0,0,0
11604,345427,30369.424139242183,1,133,133,Under 60,133,133,0
11602,346308,89118.55152584516,1,283,0,Over 60,0,0,0
11602,346595,233530.39941555195,5,129,0,Over 60,0,0,0
11602,346874,157292.67261083366,2,142,0,Over 60,0,0,0
11603,347201,87652.44139498519,5,235,0,Over 60,0,0,0
11601,348308,99276.60028966065,4,70,0,Over 60,0,0,0
11603,348310,71211.0634989127,1,198,0,Over 60,0,0,0
11602,349213,217403.1879760923,6,103,0,Over 60,0,0,0
11604,350351,132997.1332994399,5,64,0,Over 60,0,0,0
11602,350857,57932.29459940957,1,57,0,Over 60,0,0,0
11604,351093,230388.73484942346,2,72,0,Over 60,0,0,0
11605,351216,48905.24507940034,1,70,70,Over 60,0,0,0
11601,351274,312281.45787317306,1,125,0,Over 60,0,0,0
11604,351935,244002.61463598028,2,118,0,Over 60,0,0,0
11603,352018,228503.73610974636,2,203,0,Over 60,0,0,0
11604,352586,26808.870964296548,1,76,76,Under 60,76,76,76
11601,353768,209444.30440856676,4,74,0,Over 60,0,0,0
11605,356121,128703.52505906428,1,62,0,Over 60,0,0,0
11604,357201,49219.41153601319,1,66,66,Over 60,0,0,0
11604,357414,158135.68593607814,2,63,0,Over 60,0,0,0
11601,358573,166508.22200481058,2,107,0,Over 60,0,0,0
11605,359715,78541.61415321253,3,112,0,Over 60,0,0,0
11603,359743,66708.01095412852,1,296,0,Over 60,0,0,0
11605,360024,136871.85293099837,2,97,0,Over 60,0,0,0
11605,360069,1570.8322830642508,1,94,94,Under 60,94,94,94
11602,360111,159408.06008536016,3,47,0,Over 60,0,0,0
11605,360252,40003.862142036254,1,125,125,Under 60,125,0,0
11604,360546,187452.65244566725,4,125,0,Over 60,0,0,0
11605,361164,235624.8424596376,2,118,0,Over 60,0,0,0
11602,361894,10053.326611611204,3,104,104,Under 60,104,104,104
11601,362671,44402.19253461616,1,121,121,Over 60,0,0,0
11602,363858,69116.62045482703,1,80,0,Over 60,0,0,0
11601,365427,104722.15220428338,1,69,0,Over 60,0,0,0
11605,365652,14870.54561300824,4,231,231,Under 60,231,231,231
11603,365743,231645.40067587484,2,123,0,Over 60,0,0,0
11602,365809,99098.57263091338,2,74,0,Over 60,0,0,0
11601,365983,83777.72176342671,3,68,0,Over 60,0,0,0
11601,367026,62833.29132257003,2,145,145,Over 60,0,0,0
11602,367651,71945.16578586474,2,41,0,Over 60,0,0,0
11605,367719,489104.81187010556,4,125,0,Over 60,0,0,0
11604,368822,101371.04333374632,3,180,0,Over 60,0,0,0
11605,368926,63461.62423579573,2,238,238,Over 60,0,0,0
11602,368995,104722.15220428338,2,134,0,Over 60,0,0,0
11603,369580,530941.3116757168,4,104,0,Over 60,0,0,0
11602,369978,63880.512844612866,1,46,0,Over 60,0,0,0
11601,372212,28274.981095156516,2,504,504,Under 60,504,504,504
11603,372385,183682.65496631307,2,230,0,Over 60,0,0,0
11604,373628,59063.293843215826,2,60,60,Over 60,0,0,0
11605,375248,92082.18843322639,2,72,0,Over 60,0,0,0
11604,375316,5759.718371235586,1,159,159,Under 60,159,159,159
11605,375338,185358.20940158158,3,114,0,Over 60,0,0,0
11603,375588,162319.33591663925,1,115,0,Over 60,0,0,0
11605,376675,31626.089965693584,1,320,320,Under 60,320,320,0
11601,377423,13194.991177739706,1,109,109,Under 60,109,109,109
11605,377529,64927.7343666557,3,161,161,Over 60,0,0,0
11601,379951,138955.82375986362,2,67,0,Over 60,0,0,0
11604,381415,127761.02568922573,1,154,0,Over 60,0,0,0
11605,381572,264528.1564680198,2,122,0,Over 60,0,0,0
11601,381723,495482.3909393464,6,119,0,Over 60,0,0,0
11605,382201,136138.7978655684,2,79,0,Over 60,0,0,0
11601,383095,9424.993698385504,1,106,106,Under 60,106,106,106
11602,383510,31416.645661285016,1,156,156,Under 60,156,156,0
11602,383591,61838.43087662934,2,133,133,Over 60,0,0,0
11604,384156,82730.50024138388,2,108,0,Over 60,0,0,0
11601,384772,173838.77265911043,2,80,0,Over 60,0,0,0
11605,385060,17279.155113706758,1,163,163,Under 60,163,163,163
11602,385323,115194.36742471173,4,90,0,Over 60,0,0,0
11603,385484,37176.3640325206,2,68,68,Under 60,68,68,0
11603,385658,27416.259447081393,1,82,82,Under 60,82,82,82
11604,386752,336241.8862975131,8,79,0,Over 60,0,0,0
11605,386871,89013.82937364088,2,41,0,Over 60,0,0,0
11605,387071,92364.93824417795,1,124,0,Over 60,0,0,0
11604,387552,320449.78574510716,4,61,0,Over 60,0,0,0
11604,389760,104743.09663472425,4,82,0,Over 60,0,0,0
11601,390334,5236.10761021417,1,126,126,Under 60,126,126,126
11602,390467,10472.21522042834,1,132,132,Under 60,132,132,132
11605,390959,177818.2144428732,2,122,0,Over 60,0,0,0
11605,391782,100428.54396390777,2,167,0,Over 60,0,0,0
11601,392087,45973.02481768041,3,71,71,Under 60,71,0,0
11602,392894,196877.64614405276,2,93,0,Over 60,0,0,0
11604,393056,219916.5196289951,1,163,0,Over 60,0,0,0
11605,393540,352808.9307762307,3,86,0,Over 60,0,0,0
11602,394493,58644.4052343987,2,167,167,Over 60,0,0,0
11604,394548,96134.93572353215,4,80,0,Over 60,0,0,0
11603,395557,396896.95685423404,5,296,0,Over 60,0,0,0
11601,395748,132473.52253841847,1,130,0,Over 60,0,0,0
11602,395898,59691.62675644153,1,76,0,Over 60,0,0,0
11601,396134,105769.37372632622,2,119,0,Over 60,0,0,0
11605,396544,30369.424139242183,1,57,57,Under 60,57,57,0
11603,397697,530941.3116757168,2,118,0,Over 60,0,0,0
11604,397729,46810.80203531467,1,103,103,Over 60,0,0,0
11603,398498,63880.512844612866,1,181,0,Over 60,0,0,0
11604,399113,64927.7343666557,2,121,0,Over 60,0,0,0
11602,400589,221005.63001191968,2,74,0,Over 60,0,0,0
11605,401102,188499.8739677101,3,126,0,Over 60,0,0,0
11604,402045,180122.10179136743,2,107,0,Over 60,0,0,0
11601,402520,96344.38002794072,3,199,0,Over 60,0,0,0
11604,402596,39270.80707660627,3,128,128,Under 60,128,128,0
11605,403805,911.0827241772654,5,75,75,Under 60,75,75,75
11601,403976,219916.5196289951,2,145,0,Over 60,0,0,0
11603,404257,30369.424139242183,2,137,137,Under 60,137,137,137
11602,404376,144830.7364985239,2,67,0,Over 60,0,0,0
11603,404715,56342.61232894855,2,180,180,Over 60,0,0,0
11604,404761,474391.34948540374,2,63,0,Over 60,0,0,0
11605,405224,15498.87852623394,2,65,65,Under 60,65,65,65
11605,405654,31416.645661285016,1,143,143,Under 60,143,143,0
11603,407244,85160.05417252325,1,95,0,Over 60,0,0,0
11604,407824,109434.64905347614,7,140,0,Over 60,0,0,0
11603,408021,8691.938632955522,1,120,120,Under 60,120,120,120
11605,408223,9718.215724557498,1,122,122,Under 60,122,122,122
11604,408339,251647.33174689297,2,67,0,Over 60,0,0,0
11601,408414,37490.53048913345,3,65,65,Under 60,65,65,0
11601,408573,41888.86088171336,2,122,122,Under 60,122,0,0
11601,409625,171430.16315841192,2,64,0,Over 60,0,0,0
11604,409980,39794.41783762768,1,88,88,Under 60,88,0,0
11603,410017,76447.17110912687,2,237,0,Over 60,0,0,0
11604,410688,86186.33126412523,2,629,0,Over 60,0,0,0
11602,410944,157083.22830642507,3,66,0,Over 60,0,0,0
11605,411702,25133.316529028012,5,218,218,Under 60,218,218,218
11601,412736,19792.48676660956,1,123,123,Under 60,123,123,123
11604,412980,50266.633058056024,1,65,65,Over 60,0,0,0
11602,415042,387471.9631558485,2,124,0,Over 60,0,0,0
11601,415998,104722.15220428338,2,113,0,Over 60,0,0,0
11604,418723,17593.321570319607,1,174,174,Under 60,174,174,174
11604,418769,33720.53300977925,2,153,153,Under 60,153,153,0
11604,419056,81473.83441493247,2,71,0,Over 60,0,0,0
11604,419072,104722.15220428338,3,62,0,Over 60,0,0,0
11604,419176,125666.58264514006,4,63,0,Over 60,0,0,0
11603,419947,48071.65674785425,1,101,101,Over 60,0,0,0
11603,420164,64927.7343666557,2,99,0,Over 60,0,0,0
11601,421901,99538.40567017136,1,210,0,Over 60,0,0,0
11605,421971,28830.00850183922,3,72,72,Under 60,72,72,72
11603,424056,78541.61415321253,1,102,0,Over 60,0,0,0
11601,425031,166508.22200481058,2,69,0,Over 60,0,0,0
11604,425393,99486.04459406922,2,95,0,Over 60,0,0,0
11603,425711,190594.31701179576,2,151,0,Over 60,0,0,0
11602,425931,308930.349002636,3,65,0,Over 60,0,0,0
11602,427341,64927.7343666557,1,174,0,Over 60,0,0,0
11605,427747,68069.3989327842,1,69,0,Over 60,0,0,0
11603,428019,151847.1206962109,1,162,0,Over 60,0,0,0
11602,428099,231435.95637146628,3,126,0,Over 60,0,0,0
11602,429267,90061.05089568371,1,110,0,Over 60,0,0,0
11605,429865,68069.3989327842,1,141,0,Over 60,0,0,0
11601,430353,92364.93824417795,3,102,0,Over 60,0,0,0
11603,431199,979152.1231100496,3,132,0,Over 60,0,0,0
11603,431763,198972.08918813843,2,146,0,Over 60,0,0,0
11601,432235,174100.57803962112,4,120,0,Over 60,0,0,0
11601,432689,56811.76757082374,3,186,186,Over 60,0,0,0
11601,432822,261805.38051070846,4,112,0,Over 60,0,0,0
11602,434266,115194.36742471173,3,68,0,Over 60,0,0,0
11602,434442,584140.1649954927,4,123,0,Over 60,0,0,0
11603,435070,25133.316529028012,1,103,103,Under 60,103,103,103
11604,435341,3351.1088705370685,1,97,97,Under 60,97,97,97
11603,435715,142945.7377588468,2,63,0,Over 60,0,0,0
11602,435881,86919.38632955521,5,84,0,Over 60,0,0,0
11605,436104,33929.97731418782,1,107,107,Under 60,107,107,0
11605,436438,36652.75327149918,2,129,129,Under 60,129,129,0
11601,436589,2094.4430440856677,1,161,161,Under 60,161,161,161
11605,437039,92155.49393976938,2,43,0,Over 60,0,0,0
11605,437860,203160.97527630976,5,112,0,Over 60,0,0,0
11601,438220,278560.9248633938,4,378,0,Over 60,0,0,0
11601,438919,80143.86308193808,3,112,0,Over 60,0,0,0
11602,439089,41365.25012069194,1,91,91,Under 60,91,0,0
11603,440201,73305.50654299837,2,114,0,Over 60,0,0,0
11601,440422,109958.25981449755,3,107,0,Over 60,0,0,0
11605,441269,138233.24090965407,1,120,0,Over 60,0,0,0
11602,442269,314061.7344606459,2,109,0,Over 60,0,0,0
11603,442623,189442.37333754863,2,180,0,Over 60,0,0,0
11604,443327,225225.93274575227,2,148,0,Over 60,0,0,0
11605,445261,91108.27241772655,1,77,0,Over 60,0,0,0
11604,447929,87652.44139498519,3,532,0,Over 60,0,0,0
11605,447990,143364.62636766396,5,73,0,Over 60,0,0,0
11603,448614,312072.0135687645,1,102,0,Over 60,0,0,0
11603,449715,118336.03199084023,2,315,0,Over 60,0,0,0
11601,450491,4607.774696988469,1,67,67,Under 60,67,67,67
11605,450675,209444.30440856676,2,66,0,Over 60,0,0,0
11605,451082,83777.72176342671,1,56,0,Over 60,0,0,0
11605,451323,23771.92855037233,1,38,38,Under 60,38,38,38
11604,451358,509996.8812348601,1,145,0,Over 60,0,0,0
11605,451538,20389.403034173978,1,110,110,Under 60,110,110,110
11601,452017,158235.1719806722,1,132,0,Over 60,0,0,0
11605,452514,112052.70285858322,1,122,0,Over 60,0,0,0
11601,452516,30369.424139242183,1,72,72,Under 60,72,72,0
11601,452617,73305.50654299837,1,136,0,Over 60,0,0,0
11604,454108,516374.46030410094,2,129,0,Over 60,0,0,0
11604,454288,238766.50702576613,2,136,0,Over 60,0,0,0
11601,454968,156036.00678438225,2,110,0,Over 60,0,0,0
11603,455129,293745.6369330149,4,117,0,Over 60,0,0,0
11604,455613,123572.1396010544,2,105,0,Over 60,0,0,0
11601,455708,64404.12360563428,2,69,0,Over 60,0,0,0
11604,455736,50057.18875364746,1,52,52,Over 60,0,0,0
11601,455802,65137.17867106426,1,85,0,Over 60,0,0,0
11603,455870,20420.819679835262,1,102,102,Under 60,102,102,102
11603,457403,251337.3541763683,3,148,0,Over 60,0,0,0
11601,459650,146611.01308599673,3,189,0,Over 60,0,0,0
11603,459701,60738.848278484365,1,99,0,Over 60,0,0,0
11602,459725,14661.101308599675,2,134,134,Under 60,134,134,134
11605,461514,151847.1206962109,2,69,0,Over 60,0,0,0
11604,461582,106816.59524836905,1,391,0,Over 60,0,0,0
11602,461851,240127.8950044218,3,153,0,Over 60,0,0,0
11604,462013,133206.57760384848,1,136,0,Over 60,0,0,0
11602,462379,73305.50654299837,2,112,0,Over 60,0,0,0
11602,463281,105245.7629653048,5,176,0,Over 60,0,0,0
11603,463590,235624.8424596376,1,121,0,Over 60,0,0,0
11604,465208,77494.3926311697,2,402,0,Over 60,0,0,0
11605,465632,211538.74745265243,4,76,0,Over 60,0,0,0
11602,466235,79588.83567525537,2,149,0,Over 60,0,0,0
11603,466262,16284.294667766066,1,65,65,Under 60,65,65,65
11601,466364,26704.148812092262,2,105,105,Under 60,105,105,105
11602,466586,167555.44352685343,4,63,0,Over 60,0,0,0
11602,466898,57073.57295133445,2,144,144,Over 60,0,0,0
11601,466907,136138.7978655684,3,181,0,Over 60,0,0,0
11604,468437,158130.4498284679,3,98,0,Over 60,0,0,0
11604,468577,6283.329132257003,4,130,130,Under 60,130,130,130
11604,469285,11529.908957691601,1,117,117,Under 60,117,117,117
11604,469671,175409.60494217466,1,120,0,Over 60,0,0,0
11601,469954,284844.2539956508,3,122,0,Over 60,0,0,0
11602,470517,78541.61415321253,1,41,0,Over 60,0,0,0
11605,470582,169649.8865709391,1,110,0,Over 60,0,0,0
11605,471071,29636.3690738122,1,57,57,Under 60,57,57,0
11601,471314,102627.70916019772,1,65,0,Over 60,0,0,0
11601,472544,81683.27871934105,2,128,0,Over 60,0,0,0
11601,473026,54455.51914622736,1,188,188,Over 60,0,0,0
11601,473444,17802.765874728175,1,64,64,Under 60,64,64,64
11604,473508,36652.75327149918,1,63,63,Under 60,63,0,0
11601,474190,2199.165196289951,1,63,63,Under 60,63,63,63
11601,474294,27856.09248633938,2,52,52,Under 60,52,52,52
11603,474719,291127.5831279078,2,88,0,Over 60,0,0,0
11603,475930,65974.95588869853,2,68,0,Over 60,0,0,0
11604,476137,52402.96496302341,1,241,241,Over 60,0,0,0
11602,476654,35396.087445047786,2,62,62,Under 60,62,62,0
11604,478010,68069.3989327842,5,123,123,Over 60,0,0,0
11604,479367,251333.16529028013,5,81,0,Over 60,0,0,0
11601,480595,57283.01725574301,1,156,0,Over 60,0,0,0
11605,480879,60843.57043068865,6,67,67,Under 60,67,0,0
11603,481416,30369.424139242183,1,110,110,Under 60,110,110,0
11604,481640,30788.312748059314,2,48,48,Under 60,48,48,48
11604,481685,88071.33000380233,2,68,0,Over 60,0,0,0
11605,482040,125666.58264514006,2,131,0,Over 60,0,0,0
11601,482913,558169.0712488304,1,219,0,Over 60,0,0,0
11603,484561,181169.32331341025,2,193,0,Over 60,0,0,0
11601,485482,55816.907124883044,2,128,128,Over 60,0,0,0
11605,487846,129017.69151567713,3,105,0,Over 60,0,0,0
11604,488188,391556.1270918156,1,56,0,Over 60,0,0,0
11603,488288,733055.0654299837,2,105,0,Over 60,0,0,0
11602,489480,402970.84168208245,4,43,0,Over 60,0,0,0
11605,490828,45030.52544784186,1,57,57,Over 60,0,0,0
11603,490972,99486.04459406922,2,189,0,Over 60,0,0,0
11603,491119,88804.38506923232,1,118,0,Over 60,0,0,0
11602,491297,44925.803295637576,2,85,85,Under 60,85,0,0
11601,491361,120430.4750349259,3,70,0,Over 60,0,0,0
11602,491687,308930.349002636,6,83,0,Over 60,0,0,0
11602,493409,231121.78991485343,4,62,0,Over 60,0,0,0
11604,493463,146611.01308599673,4,109,0,Over 60,0,0,0
11601,493849,69535.50906364417,2,127,0,Over 60,0,0,0
11605,493984,35396.087445047786,1,71,71,Under 60,71,0,0
11604,494902,27227.75957311368,1,79,79,Under 60,79,79,79
11602,495460,55502.74066827019,2,397,397,Over 60,0,0,0
11602,497679,75420.89401752489,1,115,0,Over 60,0,0,0
11603,498031,74541.22793900892,3,104,0,Over 60,0,0,0
11601,498453,23405.401017657336,1,68,68,Under 60,68,68,68
11605,498603,55188.574211657346,2,138,138,Over 60,0,0,0
11601,498744,369669.19728112034,4,67,0,Over 60,0,0,0
11604,498874,24609.705768006595,3,64,64,Under 60,64,64,64
11603,499781,14765.823460803957,1,373,373,Under 60,373,373,373
11602,501375,63356.90208359145,2,148,148,Over 60,0,0,0
11601,501610,165461.00048276776,2,113,0,Over 60,0,0,0
11601,503422,145982.68017277104,5,74,0,Over 60,0,0,0
11605,503987,123949.13934898982,2,57,0,Over 60,0,0,0
11602,504921,117393.53262100168,3,74,0,Over 60,0,0,0
11604,505046,60738.848278484365,1,86,0,Over 60,0,0,0
11603,505704,32463.86718332785,1,105,105,Under 60,105,105,0
11603,506128,325895.3376597299,2,93,0,Over 60,0,0,0
11601,506572,212062.35821367387,5,77,0,Over 60,0,0,0
11601,508424,530941.3116757168,4,64,0,Over 60,0,0,0
11601,508831,192060.42714265574,2,68,0,Over 60,0,0,0
11603,510528,15708.322830642508,1,106,106,Under 60,106,106,106
11601,510907,203789.30818953546,2,66,0,Over 60,0,0,0
11601,511319,94249.93698385505,1,151,0,Over 60,0,0,0
11602,512331,151847.1206962109,1,141,0,Over 60,0,0,0
11601,512398,49533.577992626044,4,148,148,Under 60,148,148,0
11603,513290,62833.29132257003,1,97,0,Over 60,0,0,0
11602,513420,33511.08870537068,2,91,91,Under 60,91,91,0
11601,513771,29845.813378220766,1,77,77,Under 60,77,77,0
11605,513880,277827.8697979638,2,99,0,Over 60,0,0,0
11603,514054,222010.96267308076,2,71,0,Over 60,0,0,0
11601,514089,183159.04420529163,3,75,0,Over 60,0,0,0
11603,514435,25133.316529028012,1,84,84,Under 60,84,84,84
11603,515433,94982.99204928504,2,119,0,Over 60,0,0,0
11603,517315,71211.0634989127,1,102,0,Over 60,0,0,0
11601,517781,56131.0735814959,1,109,109,Over 60,0,0,0
11602,517873,33511.08870537068,5,68,68,Under 60,68,68,68
11605,518257,13090.269025535423,2,105,105,Under 60,105,105,105
11601,518397,92050.7717875651,3,63,0,Over 60,0,0,0
11604,519582,59691.62675644153,1,144,0,Over 60,0,0,0
11604,519781,142212.68269341683,8,139,0,Over 60,0,0,0
11601,519817,53513.01977638881,2,65,65,Over 60,0,0,0
11602,520035,104722.15220428338,2,123,0,Over 60,0,0,0
11605,521399,158025.72767626363,3,120,0,Over 60,0,0,0
11602,521965,12671.38041671829,2,97,97,Under 60,97,97,97
11601,523144,178289.46412779245,4,115,0,Over 60,0,0,0
11602,524234,73305.50654299837,1,76,0,Over 60,0,0,0
11602,524413,224105.40571716643,3,74,0,Over 60,0,0,0
11605,524495,200019.31071018128,2,202,0,Over 60,0,0,0
11601,524707,258663.71594457998,2,130,0,Over 60,0,0,0
11601,525355,234158.73232877764,1,329,0,Over 60,0,0,0
11602,526261,501619.10905851744,2,37,0,Over 60,0,0,0
11604,526345,33511.08870537068,4,73,73,Under 60,73,73,73
11601,526362,57597.183712355865,1,166,0,Over 60,0,0,0
11604,526472,37595.252641337735,1,166,166,Under 60,166,0,0
11603,527639,110272.42627111041,2,88,0,Over 60,0,0,0
11603,528031,153941.56374029658,1,108,0,Over 60,0,0,0
11601,529540,98438.82307202638,1,128,0,Over 60,0,0,0
11604,529854,99486.04459406922,1,134,0,Over 60,0,0,0
11601,530347,1075601.2252901946,2,129,0,Over 60,0,0,0
11605,530798,51418.57673230314,5,52,52,Under 60,52,52,0
11603,531353,13613.87978655684,1,758,758,Under 60,758,758,758
11602,532308,75404.1384731722,2,140,0,Over 60,0,0,0
11604,534201,261805.38051070846,1,122,0,Over 60,0,0,0
11605,534265,83285.52764806658,3,69,0,Over 60,0,0,0
11604,534860,10681.659524836905,1,229,229,Under 60,229,229,229
11601,536552,26285.26020327513,1,108,108,Under 60,108,108,108
11604,536599,489052.45079400344,4,138,0,Over 60,0,0,0
11601,537062,173315.161898089,2,60,0,Over 60,0,0,0
11604,538269,10472.21522042834,3,408,408,Under 60,408,408,408
11601,540895,97601.04585439211,2,77,0,Over 60,0,0,0
11602,542665,36600.39219539704,2,99,99,Under 60,99,99,0
11602,542673,52361.07610214169,1,48,48,Over 60,0,0,0
11603,542783,86500.49772073807,2,114,0,Over 60,0,0,0
11603,542906,119387.44239897124,2,90,0,Over 60,0,0,0
11601,543177,241908.1715918946,6,74,0,Over 60,0,0,0
11601,543966,514185.76732303144,3,67,0,Over 60,0,0,0
11601,544106,143793.98719170154,4,118,0,Over 60,0,0,0
11602,545739,45135.24760004614,1,64,64,Over 60,0,0,0
11605,545791,14556.379156395391,1,95,95,Under 60,95,95,95
11605,546300,8796.660785159804,1,42,42,Under 60,42,42,42
11601,546799,14661.101308599675,1,142,142,Under 60,142,142,142
11605,547160,185358.20940158158,4,72,0,Over 60,0,0,0
11604,547309,115927.4224901417,8,80,0,Over 60,0,0,0
11605,548901,48800.522927196056,1,61,61,Over 60,0,0,0
11604,549405,141374.90547578258,3,114,0,Over 60,0,0,0
11602,551226,460777.4696988469,2,118,0,Over 60,0,0,0
